Origin,Destination,Avail,Due
AUG,DOT,90,118
ORL,MTG,40,77
CHS,TPA,42,73
TAL,TPA,182,205
DOT,MTG,138,164
MBL,FSC,40,80
FTM,MBL,234,275
MBL,DOT,234,266
ATH,MIA,136,177
DOT,OCA,184,209
OCA,ATL,42,68
ATH,DOT,184,210
TAL,SAV,134,167
JAX,ATH,230,260
MBL,CHS,88,131
COL,MBL,42,79
OCA,MIA,184,216
GVL,PEN,38,71
JAX,CBS,38,62
FTM,ATL,42,77
MTG,GVL,90,118
AUG,SAV,136,165
PEN,CBS,136,167
OCA,ATL,138,164
MBL,AUG,42,77
ORL,CBS,184,219
ATH,HNT,232,259
TPA,COL,40,73
GVL,CBS,232,258
TFT,AUG,38,65
ORL,FTM,230,252
JAX,HNT,88,127
ATH,BHM,88,113
SAV,BHM,134,164
PEN,CBS,38,69
ATH,AUG,230,254
MTG,MBL,134,162
ORL,CHS,136,165
CBS,TAL,138,167
TAL,DOT,88,105
ORL,TFT,88,114
FTM,DOT,90,126
GVL,FTM,184,224
SAV,MIA,136,168
MBL,SAV,134,172
JAX,HNT,38,77
JAX,GVL,136,165
MBL,SAV,184,222
CBS,GVL,86,112
BHM,MTG,86,103
MBL,AUG,88,123
MTG,TPA,232,270
COL,ATL,40,61
SAV,FTM,184,214
AUG,MBL,230,265
CHS,BHM,134,169
OCA,TPA,38,65
ATL,PEN,234,259
TFT,DOT,42,71
MTG,AUG,184,211
WPB,ATL,182,218
MTG,SAV,88,118
WPB,ATH,40,81
COL,OCA,86,123
JAX,HNT,40,79
FTM,BHM,186,229
MTG,MIA,90,133
PEN,TPA,86,117
TPA,HNT,40,79
ORL,FTM,184,206
TAL,ATL,134,157
BHM,ATH,134,159
ORL,AUG,42,78
TPA,TAL,184,209
PEN,JAX,186,214
TPA,TAL,38,63
BHM,ATL,138,158
CBS,ATL,88,106
WPB,COL,86,121
SAV,AUG,38,67
SAV,FTM,182,212
TPA,MBL,38,73
BHM,JAX,86,118
TPA,SAV,88,115
GVL,ATL,86,106
MBL,MTG,88,116
MTG,FTM,86,127
JAX,TFT,184,203
OCA,MTG,40,74
TPA,SAV,230,257
ATL,CBS,232,250
MBL,TAL,88,110
MTG,TFT,38,68
TPA,MIA,42,65
ATL,CHS,138,165
FTM,ATL,186,221
MBL,CBS,42,73
ORL,AUG,138,174
SAV,AUG,138,167
FSC,HNT,90,124
DOT,MIA,230,269
BHM,JAX,232,264
COL,OCA,138,175
CBS,TAL,230,259
BHM,PEN,230,253
FTM,MBL,232,273
JAX,WPB,86,109
COL,MBL,90,127
DOT,CHS,186,222
SAV,ATL,234,256
TAL,OCA,138,158
WPB,ORL,138,157
TPA,ATH,38,72
