Origin,Destination,Avail,Due
TAL,ATH,184,236
CHS,ORL,134,187
DOT,BHM,90,135
FSC,ATL,40,88
JAX,WPB,90,137
FTM,TAL,38,93
HNT,OCA,186,248
TPA,OCA,86,127
TPA,SAV,138,189
BHM,MBL,136,183
TPA,TAL,234,283
AUG,SAV,232,285
COL,CBS,230,281
ORL,OCA,86,127
COL,CBS,38,89
GVL,CBS,232,282
TAL,DOT,232,273
FTM,AUG,38,104
CHS,MTG,182,241
COL,CBS,40,91
WPB,AUG,86,153
OCA,FTM,136,190
FTM,GVL,134,201
WPB,AUG,182,249
JAX,AUG,88,144
WPB,ATL,88,148
ORL,TPA,138,178
MBL,TAL,234,280
ORL,TAL,232,279
ATL,ATH,90,131
TPA,TFT,38,85
MIA,HNT,42,112
MBL,SAV,186,248
TFT,MBL,88,148
FTM,SAV,138,195
SAV,OCA,136,184
SAV,OCA,90,138
OCA,MIA,184,240
ATL,TAL,86,133
TFT,CBS,42,92
JAX,TFT,38,81
MTG,MIA,88,155
TAL,OCA,186,230
JAX,CBS,134,182
MTG,COL,182,235
ORL,TAL,86,133
MTG,MIA,42,109
AUG,TAL,186,240
ATH,ATL,184,225
MIA,ATH,138,203
TAL,JAX,184,228
CHS,OCA,182,234
TFT,MBL,184,244
PEN,GVL,186,243
BHM,SAV,40,94
TAL,JAX,42,86
COL,TFT,38,91
TPA,ORL,184,224
WPB,DOT,38,97
DOT,CHS,186,246
AUG,TPA,134,195
TFT,CHS,138,191
COL,CBS,182,233
SAV,HNT,40,96
TAL,SAV,134,191
ATL,PEN,230,279
COL,CBS,42,93
ORL,BHM,138,203
JAX,OCA,186,228
ATL,AUG,230,273
ATL,OCA,88,140
MTG,COL,232,285
WPB,SAV,138,191
DOT,CBS,38,89
MTG,ORL,90,150
OCA,ORL,184,225
TAL,HNT,136,190
OCA,TPA,232,283
JAX,ORL,232,275
ATL,TAL,186,233
SAV,PEN,88,147
JAX,OCA,230,272
JAX,ATH,232,286
GVL,MIA,42,108
TPA,ATL,90,143
BHM,MBL,138,185
SAV,ATL,42,88
ATL,HNT,86,132
MIA,JAX,42,94
TFT,FTM,40,95
DOT,MIA,90,153
COL,MBL,86,147
BHM,TAL,234,284
GVL,ORL,42,101
JAX,TPA,88,133
MBL,COL,182,243
FSC,BHM,40,96
MIA,ATH,182,247
WPB,ORL,184,227
OCA,MBL,186,240
TAL,TFT,138,193
JAX,ATH,90,144
MTG,TPA,138,200
CHS,OCA,184,236
WPB,MIA,40,80
AUG,PEN,230,286
GVL,PEN,186,243
COL,MBL,182,243
JAX,SAV,138,180
WPB,JAX,182,229
CBS,ATL,90,132
ATH,DOT,138,188
PEN,TAL,182,226
TFT,CBS,136,186
SAV,TPA,138,189
MTG,MBL,136,188
BHM,MIA,138,208
DOT,AUG,40,92
COL,TFT,232,285
TAL,OCA,136,180
TFT,SAV,186,235
FTM,MTG,184,251
BHM,TFT,138,187
ORL,SAV,90,139
JAX,CBS,232,280
JAX,CHS,38,84
AUG,TAL,182,236
ATH,ATL,134,175
MTG,SAV,42,96
JAX,TPA,42,87
CBS,TAL,90,143
MTG,COL,88,141
HNT,AUG,184,237
OCA,TPA,234,285
MIA,HNT,136,206
PEN,ORL,40,97
PEN,AUG,232,288
HNT,JAX,40,101
TAL,WPB,136,191
MBL,CHS,184,251
WPB,MIA,138,178
TPA,TFT,184,231
MTG,ORL,134,194
OCA,MIA,42,98
OCA,CHS,186,238
TPA,CHS,90,145
ATL,COL,230,275
ORL,TFT,42,92
ATH,HNT,138,189
WPB,OCA,138,191
FTM,MIA,134,187
FTM,CBS,38,103
ATL,ATH,230,271
BHM,MIA,186,256
TPA,MTG,184,245
WPB,JAX,184,231
TFT,JAX,88,131
MIA,CBS,134,200
WPB,BHM,42,111
HNT,FSC,40,98
MTG,CBS,90,139
CBS,ATL,232,274
ATL,TFT,232,276
MBL,ORL,90,149
OCA,DOT,138,187
MIA,CBS,186,252
AUG,BHM,184,235
BHM,MIA,38,108
MBL,TAL,230,276
HNT,MBL,42,94
ATH,TAL,38,90
ATH,TAL,138,190
OCA,ORL,86,127
MBL,SAV,134,196
WPB,PEN,136,198
PEN,OCA,232,284
OCA,CHS,136,188
TPA,MTG,38,99
MTG,ATH,136,185
OCA,ATH,90,145
CHS,MIA,134,194
TFT,CBS,138,188
MIA,WPB,138,178
TFT,CBS,232,282
TFT,COL,186,239
TFT,FSC,232,288
HNT,SAV,90,146
ATH,DOT,88,138
WPB,JAX,86,133
ORL,TFT,86,136
CBS,MTG,38,87
CHS,TFT,40,99
MTG,COL,234,287
WPB,JAX,234,281
ORL,GVL,136,197
GVL,HNT,182,236
SAV,JAX,184,226
BHM,DOT,90,135
TFT,GVL,90,142
TFT,MBL,138,198
JAX,HNT,136,199
ORL,WPB,184,227
MBL,TFT,138,198
TAL,TFT,88,143
WPB,PEN,40,102
TAL,HNT,182,236
TPA,BHM,38,99
ORL,TFT,184,234
SAV,FTM,136,190
JAX,CHS,134,180
TFT,TAL,86,141
PEN,MIA,184,250
PEN,MIA,138,204
MBL,CHS,86,153
HNT,MIA,134,204
