Origin,Destination,Avail,Due
PEN,JAX,138,178
BHM,SAV,90,132
MTG,DOT,90,128
TPA,JAX,90,123
CBS,JAX,182,226
ORL,GVL,230,279
JAX,BHM,40,86
TAL,DOT,42,71
TAL,GVL,182,225
JAX,TPA,90,123
CHS,SAV,90,130
JAX,ATL,186,223
TPA,ATL,186,227
MBL,CHS,88,143
TFT,MIA,88,133
ORL,PEN,138,181
ATL,TAL,38,73
ORL,GVL,234,283
TPA,MIA,86,121
CBS,TPA,234,282
ORL,OCA,88,117
FTM,DOT,38,86
BHM,COL,186,227
BHM,MIA,42,100
OCA,JAX,232,262
OCA,JAX,134,164
PEN,TAL,186,218
AUG,MBL,232,279
PEN,CBS,186,229
MBL,CBS,138,181
JAX,COL,182,218
MIA,FTM,136,167
OCA,MIA,90,134
PEN,HNT,86,126
BHM,AUG,42,81
TFT,SAV,136,173
TPA,ATL,184,225
GVL,FTM,86,138
ATL,WPB,88,136
ATH,TPA,88,135
TFT,AUG,136,175
TPA,AUG,86,134
ORL,CHS,138,179
FTM,MIA,230,271
DOT,OCA,134,171
OCA,DOT,88,125
MBL,MIA,86,142
ORL,TAL,230,265
ATL,MBL,138,178
GVL,BHM,230,270
TPA,MIA,186,221
FTM,FSC,40,99
CHS,WPB,186,231
WPB,MBL,184,236
MIA,HNT,184,242
WPB,HNT,134,192
PEN,JAX,134,174
SAV,BHM,134,176
MIA,MBL,182,236
ORL,PEN,232,275
ATH,BHM,40,77
OCA,MIA,136,180
TPA,TFT,230,265
CBS,ORL,136,184
TPA,ATH,232,278
ATL,TAL,88,123
JAX,FTM,232,268
ATL,MTG,90,122
FSC,BHM,40,84
MIA,TFT,38,85
HNT,BHM,184,213
CHS,MTG,86,133
TFT,CHS,134,175
WPB,SAV,40,81
MTG,BHM,38,67
TAL,GVL,40,83
GVL,FTM,230,282
ORL,GVL,90,139
SAV,OCA,186,222
DOT,ATL,38,71
OCA,GVL,234,280
TPA,ATL,138,179
JAX,TAL,136,168
ATH,ATL,134,163
WPB,SAV,232,273
CHS,TFT,136,183
ATL,CHS,90,129
FTM,ATL,138,185
ATL,CHS,86,125
SAV,AUG,40,81
TAL,WPB,232,275
BHM,GVL,182,222
FTM,PEN,38,89
JAX,ATL,38,75
TPA,ORL,232,260
ATL,FTM,136,186
ATH,ATL,90,119
ORL,MBL,42,87
MIA,MBL,230,284
MBL,CHS,230,285
JAX,SAV,138,168
ATH,TPA,136,183
BHM,COL,88,129
WPB,JAX,90,125
BHM,ATH,232,269
ORL,CHS,38,79
TPA,ATL,90,131
MBL,ORL,184,231
AUG,SAV,186,227
ATH,PEN,230,272
OCA,FTM,88,130
TFT,AUG,230,269
TPA,BHM,234,283
MIA,TFT,42,89
HNT,MTG,38,72
HNT,PEN,186,226
JAX,MIA,182,220
OCA,TPA,230,269
CBS,MBL,234,277
TAL,ORL,138,175
JAX,TFT,136,167
FTM,MTG,90,145
WPB,HNT,38,96
OCA,WPB,134,175
WPB,TPA,42,75
BHM,TAL,40,78
TAL,ATL,134,169
MBL,SAV,186,236
DOT,OCA,232,269
FTM,FSC,86,145
MTG,TAL,234,267
BHM,ATH,138,175
OCA,TFT,134,171
WPB,OCA,40,81
OCA,MIA,134,178
BHM,DOT,42,75
ORL,ATL,88,129
TFT,JAX,234,265
BHM,ATL,184,216
MIA,MBL,134,188
ATH,GVL,38,75
TAL,TPA,38,73
ATL,AUG,134,165
OCA,PEN,38,78
SAV,MIA,230,274
AUG,ATL,90,121
BHM,CHS,38,85
ATH,OCA,230,275
WPB,ORL,136,167
FTM,SAV,234,279
ORL,PEN,88,131
AUG,CBS,88,125
TPA,OCA,186,215
ATL,PEN,134,171
FTM,ORL,136,170
ATL,WPB,86,134
FTM,ATL,86,133
OCA,CHS,40,80
TPA,OCA,232,261
TPA,BHM,230,279
JAX,ORL,186,217
TAL,BHM,40,77
FTM,JAX,186,225
DOT,TPA,234,274
FTM,TPA,182,212
TPA,ATH,88,134
TAL,OCA,42,74
TPA,GVL,138,187
JAX,ATL,90,127
ATL,OCA,186,226
JAX,PEN,90,130
OCA,GVL,134,180
GVL,DOT,230,271
ATL,ATH,230,259
MBL,MIA,182,238
MTG,ORL,42,90
MBL,JAX,86,128
GVL,JAX,90,130
PEN,MTG,90,130
HNT,FTM,86,146
JAX,MIA,42,80
TFT,WPB,42,84
