Origin,Destination,Avail,Due
PEN,BHM,42,101
OCA,TAL,90,146
HNT,OCA,138,212
BHM,CHS,38,109
BHM,MIA,182,264
CHS,ORL,38,103
MBL,BHM,186,245
CBS,FTM,38,118
PEN,WPB,40,115
HNT,MTG,40,98
TPA,DOT,186,252
ATL,WPB,134,206
TAL,DOT,40,93
JAX,TPA,186,243
PEN,DOT,40,101
TPA,BHM,38,111
COL,OCA,134,207
ATL,MTG,232,288
CBS,ATL,182,236
GVL,ORL,42,113
TAL,ATL,40,99
ATH,CHS,42,110
MBL,MIA,40,120
TPA,MBL,86,157
PEN,FSC,42,115
BHM,COL,182,247
CBS,TPA,40,112
AUG,HNT,42,107
HNT,SAV,136,204
MBL,ATH,182,251
TPA,JAX,186,243
CBS,WPB,138,216
ATH,JAX,88,155
BHM,MIA,136,218
MBL,WPB,134,211
ATL,MBL,38,102
GVL,MTG,184,248
ATH,CHS,182,250
JAX,GVL,38,103
ATL,DOT,90,147
AUG,ORL,138,211
FTM,COL,138,213
SAV,MBL,86,160
MBL,CBS,88,155
ATH,WPB,136,213
MIA,BHM,86,172
TAL,MIA,90,160
COL,TFT,182,247
ATH,SAV,40,103
ATH,FTM,138,217
JAX,SAV,38,92
ATL,ATH,138,191
ATL,OCA,134,198
COL,MTG,136,201
ATH,AUG,138,198
FTM,AUG,138,216
CBS,ORL,40,112
FSC,BHM,42,110
BHM,CHS,42,113
TAL,TFT,88,155
ATH,TPA,88,159
MTG,ORL,86,158
HNT,PEN,38,102
TAL,DOT,234,287
TFT,GVL,42,106
HNT,JAX,182,255
COL,MBL,138,211
ATH,COL,134,196
PEN,DOT,136,197
ATH,HNT,86,149
WPB,ORL,88,143
PEN,TAL,90,146
PEN,AUG,90,158
AUG,OCA,86,157
JAX,ORL,40,95
TFT,CBS,184,246
MIA,CBS,138,216
CBS,ORL,136,208
WPB,HNT,182,264
TFT,WPB,42,108
BHM,MTG,184,237
GVL,JAX,186,250
AUG,OCA,184,255
PEN,HNT,184,248
SAV,MBL,138,212
JAX,WPB,88,147
COL,MBL,134,207
TFT,JAX,230,285
MTG,PEN,86,150
CBS,TPA,186,258
BHM,MBL,138,197
PEN,ORL,182,251
BHM,CHS,184,255
MTG,GVL,134,198
DOT,MTG,88,150
AUG,BHM,182,245
CBS,PEN,88,155
OCA,TAL,88,144
BHM,CBS,90,146
HNT,TPA,184,260
ATL,MIA,182,254
MIA,ATH,38,115
MBL,JAX,86,152
TAL,ATL,182,241
ATH,TAL,42,106
MIA,DOT,136,209
CHS,ORL,42,107
TFT,COL,42,107
MIA,ATH,184,261
ATH,AUG,90,150
ATH,AUG,186,246
MTG,PEN,88,152
GVL,WPB,38,113
MIA,PEN,38,114
WPB,BHM,42,123
TFT,JAX,38,93
HNT,SAV,86,154
AUG,ORL,40,113
PEN,OCA,138,202
DOT,PEN,90,151
AUG,CBS,136,197
ORL,WPB,138,193
FTM,SAV,182,251
FSC,MTG,182,250
AUG,ATH,182,242
FTM,TPA,186,240
TPA,TAL,88,149
MTG,CBS,88,149
AUG,DOT,42,106
WPB,HNT,88,170
JAX,DOT,86,147
GVL,BHM,90,154
FTM,HNT,38,119
SAV,JAX,88,142
BHM,CHS,138,209
TFT,MTG,136,200
DOT,ATL,136,193
GVL,OCA,134,204
JAX,ATH,40,106
TPA,MIA,38,97
MIA,TFT,42,113
MIA,OCA,88,148
ORL,ATL,136,201
ATL,DOT,136,193
SAV,TFT,38,99
OCA,GVL,40,110
ATH,WPB,38,115
TPA,HNT,42,117
MBL,ORL,138,209
AUG,TPA,42,115
PEN,FSC,138,211
ATL,BHM,90,146
MBL,HNT,42,106
ATH,FTM,186,265
WPB,MBL,86,162
MTG,TFT,186,252
