Origin,Destination,Avail,Due
DOT,OCA,38,147
TFT,HNT,38,151
ATH,TAL,136,248
WPB,SAV,138,251
BHM,MIA,38,168
HNT,BHM,42,143
JAX,COL,136,244
OCA,FSC,136,258
TAL,JAX,40,144
GVL,DOT,90,203
JAX,AUG,42,158
WPB,ATL,90,210
DOT,MBL,40,151
GVL,MIA,40,166
CHS,JAX,134,240
ORL,MBL,42,159
BHM,ORL,138,261
BHM,TFT,86,195
DOT,BHM,42,147
OCA,TPA,38,149
JAX,WPB,90,197
BHM,PEN,40,147
FTM,ORL,90,196
MIA,DOT,138,259
ORL,AUG,86,206
GVL,MBL,38,158
TFT,JAX,136,239
MBL,SAV,40,162
TAL,HNT,42,156
PEN,AUG,86,202
DOT,ATL,90,195
FTM,COL,88,211
CBS,COL,38,149
MBL,ATH,38,155
ATH,ATL,42,143
MIA,OCA,136,244
MIA,COL,136,260
ATH,COL,38,148
TFT,ATL,42,146
ORL,COL,38,153
ATH,MTG,42,151
CBS,TPA,40,160
TAL,WPB,136,251
OCA,JAX,90,192
ATH,MIA,42,167
CBS,FTM,38,166
WPB,JAX,134,241
AUG,CBS,42,151
GVL,OCA,136,254
OCA,FTM,136,250
OCA,TPA,136,247
TPA,CHS,86,201
WPB,TAL,88,202
FTM,ORL,182,288
MIA,WPB,38,138
HNT,JAX,88,209
ATL,FTM,86,208
ORL,CBS,136,255
SAV,HNT,38,154
ATH,MBL,88,205
GVL,TAL,86,201
MBL,BHM,138,245
AUG,ORL,40,161
AUG,PEN,138,254
FSC,HNT,38,156
FTM,JAX,88,199
ATH,PEN,138,252
TAL,OCA,38,142
MTG,ATH,136,245
SAV,ATL,40,146
CHS,SAV,38,150
GVL,ORL,134,253
FTM,TAL,134,249
GVL,TPA,138,259
OCA,AUG,90,207
TPA,PEN,134,251
TFT,CBS,88,198
AUG,ATH,42,150
WPB,GVL,38,162
MTG,TPA,136,258
CBS,BHM,42,146
MIA,TAL,42,158
MBL,MTG,40,152
ORL,ATL,134,247
TPA,FTM,186,288
CBS,MBL,88,203
AUG,TAL,42,156
TAL,SAV,42,159
BHM,HNT,186,287
TFT,AUG,90,201
ATH,MTG,138,247
AUG,OCA,88,207
HNT,ORL,134,258
JAX,PEN,40,152
ATL,COL,90,195
OCA,ATL,40,150
AUG,TAL,88,202
SAV,ATL,138,244
OCA,TPA,90,201
MIA,AUG,134,261
CBS,HNT,40,149
CBS,TPA,88,208
SAV,OCA,138,246
DOT,AUG,138,250
FTM,TFT,90,203
BHM,PEN,90,197
TPA,AUG,38,158
WPB,COL,90,209
ORL,ATH,136,254
JAX,FTM,134,242
GVL,MIA,134,260
GVL,TFT,40,152
WPB,CHS,138,255
AUG,PEN,42,158
ATH,BHM,88,197
ATL,PEN,40,149
JAX,WPB,86,193
MBL,MTG,90,202
ORL,FTM,138,244
ORL,FTM,134,240
ATH,TAL,138,250
TPA,DOT,42,156
MIA,TFT,90,209
PEN,AUG,40,156
JAX,CHS,88,194
CHS,PEN,138,260
OCA,MBL,86,200
TPA,JAX,40,145
ATH,TAL,134,246
MTG,MIA,90,217
FTM,TFT,136,249
ATH,MBL,90,207
ATH,PEN,88,202
OCA,DOT,42,151
WPB,BHM,138,267
OCA,FSC,42,164
TAL,SAV,38,155
HNT,COL,90,205
BHM,JAX,88,204
TAL,ATH,134,246
MTG,ORL,38,158
JAX,HNT,134,257
PEN,ATL,90,199
MIA,AUG,38,165
BHM,TFT,90,199
ATH,ORL,138,257
DOT,AUG,40,152
TAL,FSC,88,207
HNT,FSC,136,254
JAX,ATH,138,252
GVL,ORL,40,159
JAX,FTM,90,198
WPB,MTG,38,166
MTG,JAX,134,247
SAV,JAX,40,142
MTG,ATL,90,194
ATH,AUG,90,198
TFT,PEN,90,207
JAX,WPB,40,147
MTG,COL,90,203
HNT,MTG,138,244
TPA,MBL,90,209
GVL,ATH,134,243
MIA,WPB,40,140
MIA,ATL,38,158
SAV,ATL,136,242
DOT,MBL,90,201
ATL,AUG,184,287
