Origin,Destination,Avail,Due
ATL,JAX,42,152
ORL,BHM,136,261
MBL,FSC,138,262
ATH,SAV,88,199
ATL,AUG,90,193
TFT,ORL,42,152
TPA,MIA,40,147
MBL,DOT,42,158
FTM,HNT,138,267
MBL,DOT,38,154
AUG,TFT,88,199
WPB,ATL,136,256
OCA,TAL,182,286
FTM,TPA,40,142
ORL,TPA,138,238
CBS,BHM,138,242
MBL,MIA,38,166
JAX,AUG,136,252
SAV,MIA,42,158
ORL,FTM,86,192
TFT,ATL,136,240
CHS,JAX,134,240
GVL,HNT,40,154
ORL,PEN,38,153
DOT,MBL,138,249
PEN,TAL,38,142
BHM,PEN,42,149
WPB,COL,38,157
OCA,CHS,40,152
ATL,PEN,88,197
ORL,COL,38,153
OCA,MIA,90,206
MIA,WPB,186,286
DOT,ATL,86,191
ATL,HNT,182,288
TPA,CHS,138,253
PEN,TPA,134,249
TPA,JAX,90,195
WPB,COL,86,205
ORL,ATH,90,208
TPA,OCA,40,141
TPA,ATL,86,199
MTG,GVL,42,154
MBL,ATL,40,152
TFT,CBS,42,152
CBS,MIA,138,264
TAL,BHM,86,195
JAX,CHS,136,242
TPA,ATH,86,204
ORL,COL,86,201
ORL,MIA,42,148
ATL,TAL,136,243
ORL,PEN,90,205
ATH,MTG,136,245
CBS,MIA,40,166
ATL,GVL,182,286
MTG,CBS,42,151
ORL,FTM,40,146
MBL,FSC,90,214
AUG,MIA,138,265
PEN,TPA,40,155
DOT,JAX,88,197
ATH,SAV,40,151
SAV,PEN,38,157
GVL,MBL,86,206
WPB,ORL,134,237
ATH,ATL,38,139
ATL,TFT,134,238
TPA,MIA,134,241
ATH,ATL,40,141
FSC,ATL,138,246
JAX,SAV,182,284
ORL,SAV,86,195
FTM,COL,134,257
ORL,MBL,136,253
MTG,MBL,138,250
OCA,WPB,86,199
ATH,OCA,136,253
OCA,WPB,138,251
HNT,ATL,90,196
TPA,TAL,86,195
BHM,ATH,90,199
BHM,SAV,134,248
CBS,BHM,86,190
GVL,ORL,136,255
BHM,WPB,42,169
GVL,HNT,88,202
ATL,FTM,86,208
