#Lists the terminals in the network with an id for each terminal. All columns after SiteID unnecessary
SiteID,State,Zip,Long,Lat,ID,PUT_DWELL,Int_DWell,Del_Dwell,SamePD_Dwell,DispSaturday
ATH,-1,-1,-1,-1,0,0,0,0,0
ATL,-1,-1,-1,-1,0,0,0,0,0
AUG,-1,-1,-1,-1,0,0,0,0,0
BHM,-1,-1,-1,-1,0,0,0,0,0
CBS,-1,-1,-1,-1,0,0,0,0,0
CHS,-1,-1,-1,-1,0,0,0,0,0
COL,-1,-1,-1,-1,0,0,0,0,0
CWM,-1,-1,-1,-1,0,0,0,0,0
DOT,-1,-1,-1,-1,0,0,0,0,0
FSC,-1,-1,-1,-1,0,0,0,0,0
FTM,-1,-1,-1,-1,0,0,0,0,0
GVL,-1,-1,-1,-1,0,0,0,0,0
HNT,-1,-1,-1,-1,0,0,0,0,0
JAX,-1,-1,-1,-1,0,0,0,0,0
MBL,-1,-1,-1,-1,0,0,0,0,0
MIA,-1,-1,-1,-1,0,0,0,0,0
MTG,-1,-1,-1,-1,0,0,0,0,0
OCA,-1,-1,-1,-1,0,0,0,0,0
ORL,-1,-1,-1,-1,0,0,0,0,0
PEN,-1,-1,-1,-1,0,0,0,0,0
SAV,-1,-1,-1,-1,0,0,0,0,0
TAL,-1,-1,-1,-1,0,0,0,0,0
TFT,-1,-1,-1,-1,0,0,0,0,0
TPA,-1,-1,-1,-1,0,0,0,0,0
WPB,-1,-1,-1,-1,0,0,0,0,0
